Item,Day,Signal,Price,EntryPrice,EntryDay,PctChange
Incandescent energy,102,BUY,185,185,102,
Incandescent energy,106,EXIT,177,185,102,-4.32
Chronotes,158,BUY,313,313,158,
Chronotes,160,EXIT,303,313,158,-3.19
Headless arrow,165,BUY,83,83,165,
Rune dart tip,80,BUY,308,308,80,
Rune dart tip,92,EXIT,298,308,80,-3.25
Rune dart tip,166,BUY,287,287,166,
Rune dart tip,172,EXIT,306,287,166,6.62
Water rune,144,BUY,132,132,144,
Water rune,146,EXIT,139,132,144,5.30
Air rune,116,BUY,39,39,116,
Air rune,117,EXIT,38,39,116,-2.56
Air rune,129,BUY,38,38,129,
Air rune,140,EXIT,40,38,129,5.26
Earth rune,84,BUY,29,29,84,
Earth rune,91,EXIT,28,29,84,-3.45
Earth rune,118,BUY,30,30,118,
Earth rune,139,EXIT,29,30,118,-3.33
Body rune,137,BUY,28,28,137,
Body rune,141,EXIT,30,28,137,7.14
Flesh rune,158,BUY,590,590,158,
Flesh rune,159,EXIT,569,590,158,-3.56
Maple logs,118,BUY,372,372,118,
Maple logs,123,EXIT,393,372,118,5.65
Soul rune,80,BUY,791,791,80,
Soul rune,84,EXIT,835,791,80,5.56
Soul rune,133,BUY,820,820,133,
Soul rune,135,SELL,831,820,133,1.34
Soul rune,137,BUY,845,845,137,
Soul rune,139,EXIT,895,845,137,5.92
Soul rune,167,BUY,897,897,167,
Soul rune,172,EXIT,1013,897,167,12.93
Rune dart,120,BUY,60,60,120,
Rune dart,121,EXIT,63,60,120,5.00
Coal,86,BUY,357,357,86,
Coal,89,EXIT,348,357,86,-2.52
Coal,113,BUY,356,356,113,
Coal,131,EXIT,377,356,113,5.90
Spring,123,BUY,2350,2350,123,
Spring,127,EXIT,2536,2350,123,7.91
Spring,168,BUY,2734,2734,168,
Spring,172,EXIT,2662,2734,168,-2.63
Vial of water,123,BUY,76,76,123,
Vial of water,155,EXIT,74,76,123,-2.63
Luminous energy,140,BUY,208,208,140,
Luminous energy,144,EXIT,199,208,140,-4.33
Vibrant energy,81,BUY,356,356,81,
Vibrant energy,83,EXIT,385,356,81,8.15
Brilliant energy,131,BUY,206,206,131,
Brilliant energy,147,SELL,202,206,131,-1.94
Radiant energy,130,BUY,233,233,130,
Radiant energy,138,EXIT,245,233,130,5.15
Fishing bait,124,BUY,15,15,124,
Fishing bait,125,EXIT,14,15,124,-6.67
Fishing bait,131,BUY,16,16,131,
Fishing bait,147,EXIT,15,16,131,-6.25
Resonant anima of Jas ...,120,BUY,81,81,120,
Resonant anima of Jas ...,136,SELL,80,81,120,-1.23
Raw rocktail,81,BUY,987,987,81,
Raw rocktail,86,EXIT,955,987,81,-3.24
Raw rocktail,97,BUY,1055,1055,97,
Raw rocktail,101,EXIT,1111,1055,97,5.31
Raw rocktail,149,BUY,1071,1071,149,
Raw rocktail,151,EXIT,1017,1071,149,-5.04
Raw rocktail,169,BUY,1102,1102,169,
Raw rocktail,172,EXIT,1209,1102,169,9.71
Steel bar,82,BUY,2060,2060,82,
Steel bar,86,EXIT,2209,2060,82,7.23
Silverhawk feathers,93,BUY,3970,3970,93,
Silverhawk feathers,104,EXIT,3773,3970,93,-4.96
Dragon arrowheads,91,BUY,379,379,91,
Dragon arrowheads,95,EXIT,358,379,91,-5.54
Dragon arrowheads,112,BUY,351,351,112,
Dragon arrowheads,117,SELL,346,351,112,-1.42
Dragon arrowheads,119,BUY,357,357,119,
Dragon arrowheads,144,EXIT,340,357,119,-4.76
Dragon arrowheads,172,BUY,382,382,172,
Dragon arrowheads,173,EXIT,346,382,172,-9.42
Water talisman,167,BUY,743,743,167,
Water talisman,172,EXIT,854,743,167,14.94
Catalytic anima stone,95,BUY,913,913,95,
Catalytic anima stone,110,EXIT,885,913,95,-3.07
Infernal ashes,87,BUY,526,526,87,
Infernal ashes,91,EXIT,556,526,87,5.70
Raw shark,99,BUY,385,385,99,
Raw shark,101,EXIT,405,385,99,5.19
Raw shark,153,BUY,401,401,153,
Raw shark,161,EXIT,427,401,153,6.48
Steel arrow,136,BUY,25,25,136,
Steel arrow,143,EXIT,24,25,136,-4.00
