Item,Day,Signal,Price,EntryPrice,EntryDay,PctChange
Headless arrow,177,BUY,85,85,177,
Rune dart tip,177,BUY,287,287,177,
Earth rune,124,BUY,30,30,124,
Earth rune,139,EXIT,29,30,124,-3.33
Body rune,149,BUY,34,34,149,
Body rune,153,EXIT,33,34,149,-2.94
Mind rune,124,BUY,19,19,124,
Mind rune,133,EXIT,20,19,124,5.26
Maple logs,122,BUY,386,386,122,
Maple logs,136,EXIT,408,386,122,5.70
Soul rune,169,BUY,908,908,169,
Soul rune,172,EXIT,1013,908,169,11.56
Rune dart,125,BUY,69,69,125,
Rune dart,129,EXIT,73,69,125,5.80
Coal,126,BUY,355,355,126,
Coal,131,EXIT,377,355,126,6.20
Spring,128,BUY,2586,2586,128,
Spring,131,EXIT,2753,2586,128,6.46
Spring,167,BUY,2678,2678,167,
Spring,174,EXIT,2604,2678,167,-2.76
Vial of water,129,BUY,79,79,129,
Vial of water,131,EXIT,77,79,129,-2.53
Radiant energy,147,BUY,239,239,147,
Radiant energy,150,EXIT,256,239,147,7.11
Fishing bait,134,BUY,16,16,134,
Fishing bait,147,EXIT,15,16,134,-6.25
Raw rocktail,172,BUY,1209,1209,172,
Raw rocktail,173,EXIT,1102,1209,172,-8.85
Dragon arrowheads,179,BUY,346,346,179,
Water talisman,174,BUY,838,838,174,
Water talisman,175,EXIT,769,838,174,-8.23
Raw shark,153,BUY,401,401,153,
Raw shark,161,EXIT,427,401,153,6.48
